timestamp,symbol,timeframe,direction,tier,composite_score,crt_score,smc_score,session,session_bullish,session_bearish,entry,stop_loss,take_profit,sl_source,rr,risk,reward,current_price,distance_to_entry_pct,scenario,freshness_state,age_minutes,displacement_ratio,retracement_pct,in_optimal_ote,premium_discount,ob_type,ob_touches,fvg_type,fvg_filled,msb_confirmed,msb_direction,liquidity_swept,liquidity_direction,confluence_count,signals_list,action,outcome,atr,atr_sl_distance,mtf_alignment,mtf_details
2026-07-26T19:41:45.861976,MMTUSDT,1h,BULLISH,OPPORTUNITY,67,44,23,LONDON,5,5,0.1699,0.16874,0.18312,ATR_min,11.4,0.00116,0.01322,0.1699,0.0,FVG_FILL_ENTRY,hot,14,1.69,63.6,False,,BULLISH_OB,2,BULLISH,,True,BEARISH,True,BEARISH,0,,revalidated,,0.00233,0.00116,0,
2026-07-26T19:41:45.877322,MSFTBUSDT,1h,BULLISH,WATCH,57,44,13,LONDON,5,5,384.09,382.52,386.445,SSL,1.5,1.57,2.355,384.09,0.0,FVG_FILL_ENTRY,hot,14,2.21,68.9,False,,BULLISH_OB,2,BULLISH,,False,,,,0,,revalidated,,1.01714,1.57,0,
2026-07-26T19:42:06.440463,PSGUSDT,1h,BEARISH,WATCH,48,28,20,LONDON,5,5,0.521,0.523,0.51695,BSL,2.02,0.002,0.00405,0.521,0.0,MSB_RETEST,hot,,4.2,75.0,False,,BEARISH_OB,6,,,True,BULLISH,,,0,,new,,0.00336,0.002,0,
2026-07-26T19:42:06.838106,WBTCUSDT,4h,BEARISH,WATCH,60,48,12,LONDON,5,5,64536.77,64726.32,62735.8503,ATR_min,9.5,189.55,1800.9197,64536.77,0.0,DISPLACEMENT_RETRACEMENT,hot,,5.13,62.0,True,,BEARISH_OB,1,BEARISH,,False,,,,0,,new,,379.1,189.55,0,
2026-07-26T19:42:12.117488,LISTAUSDT,1d,BULLISH,WATCH,51,28,23,ASIA,0,0,0.05073,0.0462,0.06634,SSL,3.45,0.00453,0.01561,0.0473,7.25,DISPLACEMENT_RETRACEMENT,hot,,3.08,52.6,True,,BULLISH_OB,2,BULLISH,,True,BEARISH,True,BEARISH,0,,new,,0.00435,0.00453,0,
2026-07-26T19:42:12.323278,EPICUSDT,1h,BEARISH,OPPORTUNITY,63,48,15,LONDON,5,5,0.68146,0.7008,0.52496,BSL,8.09,0.01934,0.1565,0.685,0.52,LIQUIDITY_SWEEP,hot,,5.99,65.6,False,,BEARISH_OB,5,,,False,,True,BULLISH,0,,new,,0.03424,0.01934,0,
2026-07-26T19:42:12.632138,MMTUSDT,1h,BULLISH,OPPORTUNITY,67,44,23,LONDON,5,5,0.1699,0.16874,0.18312,ATR_min,11.4,0.00116,0.01322,0.1699,0.0,FVG_FILL_ENTRY,hot,,1.69,63.6,False,,BULLISH_OB,2,BULLISH,,True,BEARISH,True,BEARISH,0,,new,,0.00233,0.00116,0,
2026-07-26T19:42:12.775334,MSFTBUSDT,1h,BULLISH,WATCH,57,44,13,LONDON,5,5,384.09,382.52,386.445,SSL,1.5,1.57,2.355,384.09,0.0,FVG_FILL_ENTRY,hot,,2.21,68.9,False,,BULLISH_OB,2,BULLISH,,False,,,,0,,new,,1.01714,1.57,0,
2026-07-26T19:48:39.901622,BTCUSDT,4h,BEARISH,OPPORTUNITY,62,48,14,LONDON,5,5,64664.0,65406.90571,62416.71105,ATR_max,3.02,742.90571,2247.28895,64664.0,0.0,FVG_FILL_ENTRY,hot,,4.91,66.3,False,,BEARISH_OB,1,BEARISH,,False,,,,0,,new,,371.45286,742.90571,0,
2026-07-26T19:48:40.064368,MTLUSDT,4h,BULLISH,WATCH,54,44,10,LONDON,5,5,0.22136,0.219,0.22714,SSL,2.45,0.00236,0.00578,0.22,0.62,OB_BOUNCE,hot,,2.62,66.7,False,,BULLISH_OB,3,,,False,,,,0,,new,,0.00236,0.00236,0,
2026-07-26T19:48:40.302699,INJUSDT,1h,BEARISH,WATCH,41,23,18,LONDON,5,5,4.949,4.97621,4.82834,ATR_min,4.43,0.02721,0.12066,4.949,0.0,OB_BOUNCE,hot,,5.67,49.3,False,,BEARISH_OB,2,BEARISH,,False,,,,0,,new,,0.05443,0.02721,0,
2026-07-26T19:48:40.312571,CTKUSDT,4h,BULLISH,WATCH,43,33,10,LONDON,5,5,0.1036,0.10269,0.10826,ATR_min,5.12,0.00091,0.00466,0.1036,0.0,DISPLACEMENT_RETRACEMENT,hot,,4.16,60.3,True,,BULLISH_OB,4,,,False,,,,0,,new,,0.00182,0.00091,0,
2026-07-26T19:48:40.333426,AVAUSDT,4h,BULLISH,WATCH,43,33,10,LONDON,5,5,0.1616,0.157,0.17117,SSL,2.08,0.0046,0.00957,0.1616,0.0,DISPLACEMENT_RETRACEMENT,hot,,4.78,58.7,True,,BULLISH_OB,4,,,False,,,,0,,new,,0.00388,0.0046,0,
2026-07-26T19:48:40.562841,LAZIOUSDT,4h,BULLISH,WATCH,49,39,10,LONDON,5,5,0.364,0.36043,0.37574,ATR_min,3.29,0.00357,0.01174,0.364,0.0,OB_BOUNCE,hot,,2.95,69.2,False,,BULLISH_OB,3,,,False,,,,0,,new,,0.00714,0.00357,0,
2026-07-26T19:48:40.774828,GLMUSDT,4h,BULLISH,WATCH,54,44,10,LONDON,5,5,0.1005,0.0987,0.1043,SSL,2.11,0.0018,0.0038,0.1005,0.0,OB_BOUNCE,hot,,1.58,62.5,False,,BULLISH_OB,3,,,False,,,,0,,new,,0.00149,0.0018,0,
2026-07-26T19:48:40.806612,WBTCUSDT,4h,BEARISH,WATCH,60,48,12,LONDON,5,5,64633.31,64828.36357,62733.09851,ATR_min,9.74,195.05357,1900.21149,64633.31,0.0,FVG_FILL_ENTRY,hot,,4.95,69.1,False,,BEARISH_OB,1,BEARISH,,False,,,,0,,new,,390.10714,195.05357,0,
2026-07-26T19:48:41.082966,BNSOLUSDT,4h,BEARISH,WATCH,40,28,12,LONDON,5,5,84.4,85.8,82.3,BSL,1.5,1.4,2.1,84.4,0.0,FVG_FILL_ENTRY,hot,,3.56,90.0,False,,BEARISH_OB,1,BEARISH,,False,,,,0,,new,,0.72857,1.4,0,
2026-07-26T19:48:41.655445,TSLABUSDT,4h,BEARISH,WATCH,43,23,20,LONDON,5,5,315.68,317.26286,307.72857,ATR_min,5.02,1.58286,7.95143,315.68,0.0,OB_BOUNCE,hot,,7.01,46.0,False,,BEARISH_OB,4,BEARISH,,False,,,,0,,new,,3.16571,1.58286,0,
2026-07-26T19:48:41.668621,INTCBUSDT,4h,BEARISH,WATCH,41,33,8,LONDON,5,5,95.1,96.11143,91.65428,ATR_min,3.41,1.01143,3.44572,95.1,0.0,FVG_FILL_ENTRY,hot,,3.59,56.5,True,,,,BEARISH,,False,,,,0,,new,,2.02286,1.01143,0,
2026-07-26T19:48:41.685050,METABUSDT,1h,BULLISH,WATCH,48,38,10,LONDON,5,5,600.03321,598.42,611.41051,SSL,7.05,1.61321,11.3773,599.0,0.17,DISPLACEMENT_RETRACEMENT,hot,,3.91,56.0,True,,BULLISH_OB,11,BULLISH,,False,,,,0,,new,,1.63429,1.61321,0,
2026-07-26T20:03:42.719160,BTCUSDT,4h,BEARISH,OPPORTUNITY,62,48,14,LONDON,5,5,64664.0,65406.90571,62416.71105,ATR_max,3.02,742.90571,2247.28895,64664.0,0.0,FVG_FILL_ENTRY,hot,13,4.91,66.3,False,,BEARISH_OB,1,BEARISH,,False,,,,0,,revalidated,,371.45286,742.90571,0,
2026-07-26T20:03:42.723969,MTLUSDT,4h,BULLISH,WATCH,54,44,10,LONDON,5,5,0.22136,0.219,0.22714,SSL,2.45,0.00236,0.00578,0.22,0.62,OB_BOUNCE,hot,13,2.62,66.7,False,,BULLISH_OB,3,,,False,,,,0,,revalidated,,0.00236,0.00236,0,
2026-07-26T20:03:42.727840,INJUSDT,1h,BEARISH,WATCH,41,23,18,LONDON,5,5,4.949,4.97621,4.82834,ATR_min,4.43,0.02721,0.12066,4.949,0.0,OB_BOUNCE,hot,13,5.67,49.3,False,,BEARISH_OB,2,BEARISH,,False,,,,0,,revalidated,,0.05443,0.02721,0,
2026-07-26T20:03:42.733204,CTKUSDT,4h,BULLISH,WATCH,43,33,10,LONDON,5,5,0.1036,0.10269,0.10826,ATR_min,5.12,0.00091,0.00466,0.1036,0.0,DISPLACEMENT_RETRACEMENT,hot,13,4.16,60.3,True,,BULLISH_OB,4,,,False,,,,0,,revalidated,,0.00182,0.00091,0,
2026-07-26T20:03:42.733204,AVAUSDT,4h,BULLISH,WATCH,43,33,10,LONDON,5,5,0.1616,0.157,0.17117,SSL,2.08,0.0046,0.00957,0.1616,0.0,DISPLACEMENT_RETRACEMENT,hot,13,4.78,58.7,True,,BULLISH_OB,4,,,False,,,,0,,revalidated,,0.00388,0.0046,0,
2026-07-26T20:03:42.738738,LAZIOUSDT,4h,BULLISH,WATCH,49,39,10,LONDON,5,5,0.364,0.36043,0.37574,ATR_min,3.29,0.00357,0.01174,0.364,0.0,OB_BOUNCE,hot,13,2.95,69.2,False,,BULLISH_OB,3,,,False,,,,0,,revalidated,,0.00714,0.00357,0,
